product_ref,filename_or_slot,shot_type,verdict,reason,target_set_position,sector,assigned_tier
Adjustable Overbed Table,slot:white_seamless_hero,white_seamless_hero,MISSING,No straight catalog hero of the table on white.,1,Hospital,long-tail
Adjustable Overbed Table,adjustable overbed table.png,three_quarter_angle,KEEP,"Sharp photoreal three-quarter on white; shows U-base, casters, crank clearly.",2,Hospital,long-tail
Adjustable Overbed Table,slot:dimension_diagram,dimension_diagram,MISSING,Buyer needs height-range and footprint dimensions to spec.,3,Hospital,long-tail
Compact Lounge Chair,slot:white_seamless_hero,white_seamless_hero,MISSING,No upright catalog hero of the seated chair.,1,Hospital,considered
Compact Lounge Chair,slot:dimension_diagram,dimension_diagram,MISSING,"Procurement needs seat width, depth, height specs.",2,Hospital,considered
Compact Lounge Chair,slot:material_swatch_row,material_swatch_row,MISSING,No wipe-clean upholstery finish options shown.,3,Hospital,considered
Compact Lounge Chair,slot:full_room_scene,full_room_scene,MISSING,No patient-room context to sell placement.,4,Hospital,considered
Compact Lounge Chair,slot:three_quarter_angle,three_quarter_angle,MISSING,No upright three-quarter angle of the chair.,5,Hospital,considered
Compact Lounge Chair,slot:hardware_detail,hardware_detail,MISSING,No close-up of recline handle or caster hardware.,6,Hospital,considered
Compact Lounge Chair,Image_fx (8).png,functional_transformation,KEEP,"Photoreal reclined view shows footrest, tray, side pocket, release handle.",7,Hospital,considered
Contoured Lounge Chair,slot:white_seamless_hero,white_seamless_hero,MISSING,No crisp catalog hero on white.,1,Hospital,standard
Contoured Lounge Chair,slot:dimension_diagram,dimension_diagram,MISSING,No seat dimensions for procurement.,2,Hospital,standard
Contoured Lounge Chair,slot:full_room_scene,full_room_scene,MISSING,No patient-room context shown.,3,Hospital,standard
Contoured Lounge Chair,Gemini_Generated_Image_peox7dpeox7dpeox.png,three_quarter_angle,REDO,"Low-res, soft, CGI-ish; too small to spec, weak detail and lighting.",4,Hospital,standard
Contoured Lounge Chair,slot:texture_macro,texture_macro,MISSING,No easy-clean upholstery texture close-up.,5,Hospital,standard
Curved Desk,slot:white_seamless_hero,white_seamless_hero,MISSING,No straight front-facing catalog hero of the desk.,1,Hospital,considered
Curved Desk,slot:dimension_diagram,dimension_diagram,MISSING,"Reception desk needs length, counter height, depth specs.",2,Hospital,considered
Curved Desk,Curved Desk 2.jpg,color_finish_grid,KEEP,Clean grey-finish variant on white; useful second-colour spec option.,3,Hospital,considered
Curved Desk,slot:full_room_scene,full_room_scene,MISSING,No waiting-area context to show scale and fit.,4,Hospital,considered
Curved Desk,Curved Desk.jpg,three_quarter_angle,KEEP,Sharp photoreal beech desk on white; transaction counter and curve clear.,5,Hospital,considered
Curved Desk,slot:hardware_detail,hardware_detail,MISSING,No close-up of counter edge or integrated storage.,6,Hospital,considered
Double Drawer Cabinet,slot:white_seamless_hero,white_seamless_hero,MISSING,No clean front catalog hero of the cabinet.,1,Hospital,long-tail
Double Drawer Cabinet,double drawer cabinet.png,three_quarter_angle,REDO,Visible AI sparkle watermark bottom-right; rustic knotty wood off-brand for clinical.,2,Hospital,long-tail
Double Drawer Cabinet,slot:dimension_diagram,dimension_diagram,MISSING,"Bedside cabinet needs height, width, depth dimensions.",3,Hospital,long-tail
Electric Recliner,slot:white_seamless_hero,white_seamless_hero,MISSING,No upright catalog hero on white.,1,Hospital,flagship
Electric Recliner,slot:dimension_diagram,dimension_diagram,MISSING,Recliner needs upright and reclined footprint dimensions.,2,Hospital,flagship
Electric Recliner,slot:material_swatch_row,material_swatch_row,MISSING,No wipe-clean upholstery colour options shown.,3,Hospital,flagship
Electric Recliner,slot:wide_establishing,wide_establishing,MISSING,No wide hero establishing the chair in a suite.,4,Hospital,flagship
Electric Recliner,slot:full_room_scene,full_room_scene,MISSING,No patient-room context to sell placement.,5,Hospital,flagship
Electric Recliner,slot:three_quarter_angle,three_quarter_angle,MISSING,No upright three-quarter view of the chair.,6,Hospital,flagship
Electric Recliner,slot:side_profile,side_profile,MISSING,No side profile to show recline depth and back angle.,7,Hospital,flagship
Electric Recliner,slot:hardware_detail,hardware_detail,MISSING,No close-up of power control or optional casters.,8,Hospital,flagship
Electric Recliner,electric recliner.png,functional_transformation,KEEP,"Photoreal reclined pose shows footrest, power button, cord; mechanism legible.",9,Hospital,flagship
Electric Recliner,slot:footprint_plan,footprint_plan,MISSING,No top-down footprint for room planning.,10,Hospital,flagship
Fixed Overbed Table,slot:white_seamless_hero,white_seamless_hero,MISSING,No clean front catalog hero of correct overbed design.,1,Hospital,long-tail
Fixed Overbed Table,Fixed Overbed Table.png,three_quarter_angle,REDO,Visible AI sparkle watermark; pedestal cafe base not a true overbed table.,2,Hospital,long-tail
Fixed Overbed Table,slot:dimension_diagram,dimension_diagram,MISSING,Fixed-height table needs height and top dimensions.,3,Hospital,long-tail
Glass Table,glass table 3.png,white_seamless_hero,KEEP,"Sharp two-tier glass-and-chrome on white; clean hero, photoreal.",1,Hospital,standard
Glass Table,slot:dimension_diagram,dimension_diagram,MISSING,"Magazine table needs length, width, height dimensions.",2,Hospital,standard
Glass Table,slot:full_room_scene,full_room_scene,MISSING,No waiting-area context to show scale and use.,3,Hospital,standard
Glass Table,glass table 1.png,single_prop_styling,REDO,Magazine covers show garbled AI gibberish text; reads as fake.,4,Hospital,standard
Glass Table,glass table.png,three_quarter_angle,KEEP,"Clean chrome-and-glass on white; sharp, photoreal, spec-able.",4,Hospital,standard
Glass Table,glass table 2.png,single_prop_styling,REDO,Real third-party magazine logos and faces; off-brand and rights risk.,4,Hospital,standard
Glass Table,slot:texture_macro,texture_macro,MISSING,No close-up of tempered glass edge or chrome finish.,5,Hospital,standard
Glass Top Desk,slot:white_seamless_hero,white_seamless_hero,MISSING,No clean front hero on seamless white,1,Hospital,considered
Glass Top Desk,slot:dimension_diagram,dimension_diagram,MISSING,Buyers need counter width/height dimensions,2,Hospital,considered
Glass Top Desk,slot:material_swatch_row,material_swatch_row,MISSING,No laminate finish options shown,3,Hospital,considered
Glass Top Desk,slot:full_room_scene,full_room_scene,MISSING,No reception-in-context shot,4,Hospital,considered
Glass Top Desk,Glass Top.jpg,three_quarter_angle,KEEP,Sharp photoreal three-quarter; glass top and laminate body spec clearly,5,Hospital,considered
Glass Top Desk,slot:hardware_detail,hardware_detail,MISSING,No glass bracket/transaction-top detail,6,Hospital,considered
Glass Top Desk,slot:functional_transformation,functional_transformation,MISSING,No accessible/ADA transaction shelf view,7,Hospital,considered
